"document_no","apply_to_doc","document_date","transaction_type","subbrandform_name","prod_name","customer_name","customer_code","channel_description","dse","pcode","customer_type","hsn_code","category","brand","brandform","quantity","gross_value","discount","taxable_scheme","cgsttax","sgsttax","igsttax","cesstax","mracc_code","mracc_desc","vendor","net_amount","tax_on_discount","tax_on_scheme","tax_in_rlp","retailing","gross_in_slp","po_no","dse_code","msu","reason","dist_gstinno","ret_gstinno","srn_ref_no","composite","cgsttax_rate","sgsttax_rate","igsttax_rate","cesstax_rate","branch_code","branch_name","order_mode","tc_code","tc_name"
"SDEKM-19-R002477","SDEKM-19-I036163","2019-10-01","Saleable RETURN","Tide Bar Rs10","TIDE LAU BAR 150G X 60 RELAUNCH PC","Preethi Stores","SDEKM_73359","Small B Traditional","BINU E P","82290560","Other (Small B Traditional)","34011941","Fabric & Home Care","Tide","Tide Bar","-6","-46.6800","0.0000","-0.9300","-4.12","-4.12","0.00","-0.46","HFS","HFS","PGHP","-54.45","0.00","-0.18","-8.88","-55.56","-44.82","","SDEKM_MS007","-5.0000000000000002e-05","Shop Closed","32AAFCS3552D1ZR","","","No","-9.0000","-9.0000","0.0000","-1.0000","2002292084","Sabari Distribution Pvt Ltd_Ernakulam","","",""
"SDEKM-19-R002472","SDEKM-19-R002472","2019-10-01","Damaged RETURN","Ariel Mat FL 500g","ARIEL LAUPWD 500GX48 MAT FL ROL PC","Ashish Super Mercato","SDEKM_90055","Super","SHINIL ED","82286487","HFS Sectorized (Super)","34022010","Fabric & Home Care","Ariel","Ariel New Matics","-1","-120.3700","0.0000","0.0000","0.00","0.00","0.00","0.00","HFSReg","HFSReg","PGHP","-120.37","0.00","0.00","0.00","-120.37","-115.55","","SDEKM_MS002","-4.16666666666e-05","Expired Pack","32AAFCS3552D1ZR","32AAATA3485D1Z7","","No","0.0000","0.0000","0.0000","0.0000","2002292084","Sabari Distribution Pvt Ltd_Ernakulam","","",""
